id;label;latitude;longitude
74473042;"Name: Gustavsburg Bahnhof; Station Number: 42615";4999455500;831414800
74473043;"Name: In der Nachtweid; Station Number: 42646";4997161100;834544400
74473044;"Name: Adam-Opel-Stra·e; Station Number: 42616";4998808300;832480600
74473045;"Name: Bebelstra·e / Stresemannstra·e; Station Number: 42647";4999775000;831775000
74473046;"Name: Menzelstra·e; Station Number: 42617";4996440400;818753100
74473047;"Name: SÅdring; Station Number: 42648";4997298700;823867700
74473048;"Name: Binger Schlag; Station Number: 42618";4999808200;825607700
74473049;"Name: LBBW / Rheinallee; Station Number: 42649";5001597200;825424700
74473050;"Name: Turmstra·e / Waggonfabrik; Station Number: 42619";5001418800;823384300
74473051;"Name: Wilhelm-Theodor-Rîmheld-Str.; Station Number: 42650";4998062000;829015000
74473052;"Name: Hauptfriedhof; Station Number: 42620";4999586600;825259600
74473053;"Name: Albert-Stohr-Stra·e; Station Number: 42651";4997814800;824937600
74473054;"Name: Ortsverwaltung Mombach; Station Number: 42621";5002263400;822468600
74473055;"Name: Schwimmbad Mombach; Station Number: 42652";5001297900;821816000
74473056;"Name: Emrichruhstra·e; Station Number: 42622";5001999200;822149200
74473057;"Name: Mombach Bahnhof; Station Number: 42653";5002159000;822876200
74473058;"Name: Dr.-Martin-Luther-King-Weg; Station Number: 42623";4999974700;824648400
74473059;"Name: Kirsteinstra·e; Station Number: 42654";4999062500;825050200
74473060;"Name: Mombach Westring; Station Number: 42624";5001656800;821777500
74473061;"Name: Hugo-Eckener-Stra·e / Karlsbader Stra·e; Station Number: 42655";5000603000;822553600
74473062;"Name: Max-Planck-Stra·e / Viermorgenweg; Station Number: 42625";4999864300;819475500
74473063;"Name: Marc-Chagall-Stra·e; Station Number: 42656";4997202200;819024100
74473064;"Name: Curt-Goetz-Stra·e / An den PlatzÑckern; Station Number: 42626";4997494500;819619900
74473065;"Name: Ortsverwaltung Ebersheim; Station Number: 42657";4991337200;824415100
74473066;"Name: Backhaushohl; Station Number: 42627";4998894300;824443300
74473067;"Name: Daniel-Brendel-Stra·e; Station Number: 42658";4997972100;819335600
74473068;"Name: Tîngeshof; Station Number: 42628";4991583800;825480100
74473069;"Name: Gutenberg Center - Eingang C; Station Number: 42659";4996807800;822815300
